flag,h5ad,Z_values,3D_forward,x_shift,y_shift
s52,path/s52.fu100.h5ad,52,"[[-0.4641845681805422, 0.8857384979005061, 1100.2704009354272], [-0.8857384979005061, -0.4641845681805422, 3441.645694148753], [0.0, 0.0, 1.0]]",11700,9200
s54,path/s54.fu100.h5ad,54,"[[0.3751063760051314, 0.9269817725717686, 159.42915912593173], [-0.9269817725717686, 0.3751063760051314, 2586.2358179303783], [0.0, 0.0, 1.0]]",4100,8800
s56,path/s56.fu100.h5ad,56,"[[-0.3511488145332931, 0.9363196623225762, 929.4213766955606], [-0.9363196623225762, -0.3511488145332931, 3454.6845459216734], [0.0, 0.0, 1.0]]",5100,13100
s58,path/s58.fu100.h5ad,58,"[[-0.9642032117681579, -0.26516441393212625, 3245.60445075089], [0.26516441393212625, -0.9642032117681579, 2787.429077515543], [0.0, 0.0, 1.0]]",12850,8700
s59,path/s59.fu100.h5ad,59,"[[-0.9907596122236608, -0.13562960881172184, 3188.6347706225292], [0.13562960881172184, -0.9907596122236608, 2874.4467241263683], [0.0, 0.0, 1.0]]",12200,4950
s61,path/s61.fu100.h5ad,61,"[[-0.9916470004846657, 0.1289814964627275, 2538.3788986333166], [-0.1289814964627275, -0.9916470004846657, 3255.10102317243], [0.0, 0.0, 1.0]]",8300,9000
s62,path/s62.fu100.h5ad,62,"[[-0.9977037129601539, -0.06772961793427758, 3170.9211595696374], [0.06772961793427758, -0.9977037129601539, 3032.6968010002283], [0.0, 0.0, 1.0]]",8150,4250
s63,path/s63.fu100.h5ad,63,"[[-0.9982565849628097, -0.059023644231684054, 3149.0396814600817], [0.059023644231684054, -0.9982565849628097, 3053.6100506017024], [0.0, 0.0, 1.0]]",4700,8900
s64,path/s64.fu100.h5ad,64,"[[-0.9981646049805699, -0.060559238469329695, 3045.0241562733695], [0.060559238469329695, -0.9981646049805699, 3117.890847238381], [0.0, 0.0, 1.0]]",4150,4400
s65,path/s65.fu100.h5ad,65,"[[-0.1776683278256081, 0.9840904253612337, 627.5185297050612], [-0.9840904253612337, -0.1776683278256081, 3333.84562804533], [0.0, 0.0, 1.0]]",4600,3100
s66,path/s66.fu100.h5ad,66,"[[-0.03200906904729552, -0.9994875784614465, 3086.416261266381], [0.9994875784614465, -0.03200906904729552, 643.6475636859263], [0.0, 0.0, 1.0]]",8300,11953
s67,path/s67.fu100.h5ad,67,"[[0.029165216941462766, -0.9995746045797462, 3013.7111289819436], [0.9995746045797462, 0.029165216941462766, 598.8750235619507], [0.0, 0.0, 1.0]]",11900,11550
s69,path/s69.fu100.h5ad,69,"[[-0.12562846835058275, 0.9920773598565215, 548.1805987607071], [-0.9920773598565215, -0.12562846835058275, 3172.474947059678], [0.0, 0.0, 1.0]]",4900,8100
s70,path/s70.fu100.h5ad,70,"[[-0.07792659471397989, -0.9969590993798503, 3099.601151205637], [0.9969590993798503, -0.07792659471397989, 764.620942190661], [0.0, 0.0, 1.0]]",11800,8200
s72,path/s72.fu100.h5ad,72,"[[-0.12434940611535529, -0.9922384920969136, 3108.368315674307], [0.9922384920969136, -0.12434940611535529, 809.7910772487369], [0.0, 0.0, 1.0]]",10650,4850
s73,path/s73.fu100.h5ad,73,"[[-0.05703274035429851, 0.9983723085741513, 225.83148506633222], [-0.9983723085741513, -0.05703274035429851, 3262.412621578228], [0.0, 0.0, 1.0]]",10450,3600
s74,path/s74.fu100.h5ad,74,"[[-0.133847124081607, 0.9910019916100482, 591.4561692389807], [-0.9910019916100482, -0.133847124081607, 3336.4363922555053], [0.0, 0.0, 1.0]]",6600,4200
s75,path/s75.fu100.h5ad,75,"[[-0.03399434263141557, 0.9994220253071566, 177.0405602182094], [-0.9994220253071566, -0.03399434263141557, 3356.263261578709], [0.0, 0.0, 1.0]]",2600,4000
s76,path/s76.fu100.h5ad,76,"[[-0.1324520125709028, -0.9911894190143061, 3241.257725622311], [-0.9911894190143061, 0.1324520125709028, 2849.0394179281784], [0.0, 0.0, 1.0]]",11700,9650
s77,path/s77.fu100.h5ad,77,"[[-0.08021934721368856, 0.996777235059373, 454.72884254914266], [-0.996777235059373, -0.08021934721368856, 3315.3240180988014], [0.0, 0.0, 1.0]]",6450,7850
s78,path/s78.fu100.h5ad,78,"[[-0.19010178799329536, 0.9817643862973195, 626.4535387962771], [-0.9817643862973195, -0.19010178799329536, 3510.1190710606083], [0.0, 0.0, 1.0]]",2750,7750
s79,path/s79.fu100.h5ad,79,"[[-0.17053409161353145, 0.9853517765740047, 509.3043436531208], [-0.9853517765740047, -0.17053409161353145, 3461.3084622597976], [0.0, 0.0, 1.0]]",2600,11200
